                   term     estimate   std.error  statistic        df     p.value
1           (Intercept)  2.010710705 0.020894683 96.2307363 1215.8933 0.000000000
2                group1 -0.011565560 0.016579983 -0.6975616 1284.1906 0.485577648
3         timefollow-up -0.005456595 0.009388619 -0.5811925  433.3969 0.561412825
4              stress.L -0.069774207 0.023594076 -2.9572766  991.7728 0.003177276
5              stress.Q  0.020351174 0.021335194  0.9538781  974.9357 0.340381787
6              stress.C -0.018073473 0.018293504 -0.9879722 1068.5215 0.323389943
7              stress^4 -0.019869100 0.015299097 -1.2987106 1053.4617 0.194327453
8             age_cat.L  0.067961486 0.041560283  1.6352508 1056.5645 0.102294338
9             age_cat.Q -0.051512979 0.031743647 -1.6227807 1109.6744 0.104920329
10            age_cat.C  0.027788736 0.018105431  1.5348288 1130.6521 0.125105650
11                 sex2  0.027737394 0.015832252  1.7519550 1146.5521 0.080048866
12 group1:timefollow-up -0.014066312 0.013967975 -1.0070402  296.6442 0.314736190
