                             term     estimate   std.error  statistic        df      p.value
1                     (Intercept)  0.674969808 0.261532668  2.5808241 1127.2106 9.981991e-03
2                          group1 -0.069409869 0.395468652 -0.1755129  762.2541 8.607232e-01
3                   timefollow-up  0.301851106 0.347047246  0.8697695  593.0062 3.847783e-01
4                       I(SCON^2) -0.004170200 0.004569793 -0.9125577 1121.9648 3.616712e-01
5                            SCON  0.049895759 0.069283802  0.7201649 1132.0681 4.715722e-01
6                        stress.L  0.540665774 0.038248643 14.1355544  960.4634 2.357903e-41
7                        stress.Q -0.183661206 0.034697370 -5.2932313  902.9499 1.509515e-07
8                        stress.C -0.031690532 0.029431657 -1.0767499 1072.9690 2.818341e-01
9                        stress^4 -0.027036915 0.026015021 -1.0392809  589.8339 2.990999e-01
10                      age_cat.L -0.063508357 0.068409056 -0.9283618  742.9147 3.535214e-01
11                      age_cat.Q -0.056014129 0.053244090 -1.0520253  636.7321 2.931870e-01
12                      age_cat.C  0.042748488 0.029970830  1.4263365  808.0051 1.541575e-01
13                           sex2  0.007411694 0.026545109  0.2792113  760.3675 7.801586e-01
14           group1:timefollow-up -0.695353163 0.490530762 -1.4175526  426.9504 1.570508e-01
15               group1:I(SCON^2) -0.001356932 0.006825146 -0.1988137  898.5988 8.424535e-01
16        timefollow-up:I(SCON^2)  0.008839614 0.006184737  1.4292626  561.7180 1.534846e-01
17                    group1:SCON  0.021739668 0.104393893  0.2082465  835.1850 8.350872e-01
18             timefollow-up:SCON -0.110323118 0.093060351 -1.1855008  582.9959 2.363025e-01
19 group1:timefollow-up:I(SCON^2) -0.014024703 0.008666968 -1.6181788  465.6362 1.063012e-01
20      group1:timefollow-up:SCON  0.203863476 0.130968201  1.5565876  456.1462 1.202619e-01
